Entry	Gene ontology IDs
Q9SU79	GO:0005737; GO:0016491; GO:0046208; GO:0046592; GO:0048510; GO:0050660; GO:0052894; GO:0052901; GO:0052903; GO:1903602; GO:1990534
Q84VQ1	GO:0005524; GO:0005886; GO:0005975; GO:0006633; GO:0042128
Q9AT54	GO:0042802; GO:0050275
F4IHS9	GO:0000139; GO:0005338; GO:0005464; GO:0005783; GO:0005789; GO:0005794; GO:0008643; GO:0015297; GO:0015790; GO:0016021; GO:0022857; GO:1900030
O65493	GO:0000325; GO:0004197; GO:0005615; GO:0005634; GO:0005764; GO:0005886; GO:0010623; GO:0051603
Q9FH92	GO:0000139; GO:0005794; GO:0009834; GO:0016021; GO:0045491; GO:0045492
Q9S9K4	GO:0004190; GO:0005886; GO:0006508; GO:0030163; GO:0031225; GO:0046658
O22932	GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0009268
O22815	GO:0005516; GO:0006952; GO:0009607; GO:0016021
Q6NKW9	GO:0005618; GO:0005886; GO:0005975; GO:0006952; GO:0009506; GO:0009664; GO:0031225; GO:0042973; GO:0046658; GO:0048046
Q9FFT4	GO:0000287; GO:0001666; GO:0004737; GO:0005829; GO:0016831; GO:0030976
Q2V9B0	GO:0003677; GO:0005634; GO:0005829
Q9LY46	GO:0000139; GO:0005794; GO:0009409; GO:0016021; GO:0016413; GO:0045492; GO:0045893; GO:0050826; GO:1990538
Q50EX6	GO:0003677; GO:0005634
Q9M9V8	GO:0004672; GO:0004674; GO:0004683; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0009738; GO:0009931; GO:0018105; GO:0035556; GO:0046777
O49459	GO:0003700; GO:0005634; GO:0043565; GO:0044212; GO:0045893; GO:2000652
Q9ZWA8	GO:0005886; GO:0009834; GO:0031225; GO:0046658
H2DH22	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
Q10I20	GO:0000139; GO:0009664; GO:0016021; GO:0052636
O22227	GO:0005737; GO:0005783; GO:0005789; GO:0009658; GO:0010274; GO:0016020; GO:0032541
P50218	GO:0000287; GO:0004450; GO:0005737; GO:0006097; GO:0006099; GO:0006102; GO:0051287
Q66GR0	GO:0005576; GO:0005773
