Entry	Gene ontology IDs
Q6ER94	GO:0006979; GO:0008379; GO:0009570; GO:0042744; GO:0045454; GO:0051920
Q9FH87	
Q8GW29	GO:0005634; GO:0005829; GO:0009691; GO:0016799
O64511	GO:0005634; GO:0009881; GO:0018298; GO:0050896
Q9LFY0	GO:0009507; GO:0010581; GO:0019252; GO:0030247; GO:2000014; GO:2001066; GO:2001070; GO:2001071
A0JJX5	GO:0005783; GO:0006869; GO:0008289; GO:0016021; GO:0046872
O48927	GO:0005506; GO:0016020; GO:0016709; GO:0020037
O64644	GO:0005730; GO:0009651; GO:0009737
Q5M757	GO:0005783; GO:0005794; GO:0005886; GO:0006612; GO:0016021; GO:0018230; GO:0019706
Q8T045	GO:0005788; GO:0006493; GO:0007030; GO:0007219; GO:0012505; GO:0018242; GO:0033577; GO:0035251; GO:0035252; GO:0042052; GO:0045746; GO:0045747; GO:0046527; GO:0060537; GO:2000035
F4HU58	GO:0003723; GO:0005634; GO:0006400; GO:0008251; GO:0042803; GO:0046872
Q9M2D9	GO:0003700; GO:0005634; GO:0009751; GO:0009753; GO:0009908; GO:0009909; GO:0030154; GO:0043565; GO:0044212
O80839	GO:0005737; GO:0005886; GO:0015629; GO:0046872; GO:0051015; GO:0051017
Q9ZVF6	GO:0005886; GO:0006631; GO:0031418; GO:0046872; GO:0048244
Q9C9F4	GO:0003700; GO:0005634; GO:0006355; GO:0008270
O64766	GO:0005739; GO:0009451
Q9LH89	GO:0005886; GO:0009055; GO:0015035; GO:0045454
P93830	GO:0003700; GO:0005634; GO:0009733; GO:0009734; GO:0042802; GO:1900057
Q8VZM1	GO:0005737; GO:0017196
Q9ZT50	GO:0004842; GO:0005634; GO:0005737; GO:0009651; GO:0009738; GO:0009789; GO:0016567; GO:0046872; GO:0047484
Q91YE6	GO:0005635; GO:0005737; GO:0005829; GO:0006606; GO:0008536; GO:0042254; GO:0042393; GO:0050821; GO:0061608
Q9FEC1	GO:0009507; GO:0009534; GO:0009535; GO:0009642; GO:0010207; GO:0016021
Q94KL7	GO:0009807; GO:0102911
Q94KL8	GO:0000166; GO:0009807; GO:0051289; GO:0102911
Q42440	GO:0000162; GO:0004640; GO:0009507
Q9Y2K9	GO:0005096; GO:0005737; GO:0005886; GO:0006887; GO:0015031; GO:0016021; GO:0017137; GO:0017157; GO:0019905; GO:0031201; GO:0031594; GO:0042593; GO:0045159; GO:0046676; GO:0098992; GO:2000300
F4J3T8	GO:0004438; GO:0004725; GO:0006629; GO:0010008; GO:0031410; GO:0035556; GO:0042631; GO:0052629; GO:2000070
Q9LZI2	GO:0000139; GO:0005737; GO:0005768; GO:0005794; GO:0005802; GO:0005886; GO:0008460; GO:0016020; GO:0016021; GO:0019305; GO:0032580; GO:0033320; GO:0042732; GO:0048040; GO:0070403
Q9C6A6	GO:0005886; GO:0016021
P0DN97	GO:0005179; GO:0006995; GO:0048046; GO:0048364; GO:1902025; GO:2000280
Q96321	GO:0005618; GO:0005635; GO:0005643; GO:0005654; GO:0005730; GO:0005829; GO:0006606; GO:0006607; GO:0008139; GO:0061608
Q08069	GO:0000462; GO:0003735; GO:0006412; GO:0022627; GO:0042255; GO:0043253
Q8H1E8	GO:0003677; GO:0005634; GO:0006306; GO:0008168
Q9ASW1	GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0010405; GO:0016021; GO:0018258; GO:0030246; GO:0048354; GO:0080147; GO:1990714
Q3EAF9	GO:0004722; GO:0004724; GO:0046872
Q9M5K3	GO:0004148; GO:0005507; GO:0005524; GO:0005739; GO:0005747; GO:0005759; GO:0008270; GO:0009055; GO:0045454; GO:0046686; GO:0048046; GO:0050660; GO:0050897
Q9LUV2	GO:0005829; GO:0005886; GO:0009865; GO:0042742; GO:0046872; GO:0050832
Q9FGY3	GO:0003700; GO:0005634; GO:0009651; GO:0009737; GO:0043565; GO:1902074
Q9XHM5	GO:0009686; GO:0045543; GO:0046872
P47927	GO:0003677; GO:0003700; GO:0005634; GO:0009908; GO:0010073; GO:0010093; GO:0030154; GO:0048316; GO:0048481
Q9SLN1	
Q94JY0	GO:0009570; GO:0033614
Q9SND9	GO:0016747
O81816	GO:0002239; GO:0004497; GO:0071949
M0ZYF3	GO:0003959; GO:0005743; GO:0005759; GO:0005777; GO:0055114
Q9SIT5	GO:0006813; GO:0006885; GO:0012505; GO:0015299; GO:0016021
Q9LX14	GO:0009925
Q9LX82	GO:0003700; GO:0005634; GO:0006355; GO:0009751; GO:0043565
Q8H124	GO:0009507; GO:0009534; GO:0009535; GO:0009941; GO:0010287
F4JZY1	GO:0003779; GO:0005773; GO:0005774; GO:0005856; GO:0005886; GO:0006970; GO:0009507; GO:0009737; GO:0009738; GO:0009789; GO:0042306; GO:0071215
Q9SLK2	GO:0000139; GO:0005783; GO:0005789; GO:0005794; GO:0005886; GO:0015247; GO:0016021; GO:0031902
Q9SEY5	GO:0006631; GO:0016874
Q9SD05	GO:0005773; GO:0005783; GO:0009058; GO:0009611; GO:0009615; GO:0009620; GO:0009723; GO:0009751; GO:0009753; GO:0016020
Q07121	GO:0005507; GO:0008131; GO:0009308; GO:0048038; GO:0052593; GO:0052594; GO:0052595; GO:0052596
Q9FPS7	GO:0004197; GO:0004843; GO:0006511; GO:0016579
C8VK14	GO:0046872; GO:0051213
Q84WJ9	GO:0004864; GO:0005634; GO:0005737; GO:0019888; GO:0045842; GO:0072357
Q9C9F5	GO:0003700; GO:0003730; GO:0005829; GO:0006355; GO:0044212; GO:0046872; GO:0061158
Q9LN01	GO:0006397; GO:0008270; GO:0009451; GO:0009507; GO:0031425
Q8VZG7	GO:0000932; GO:0003723; GO:0003729; GO:0004518; GO:0005618; GO:0005634; GO:0005635; GO:0005737; GO:0005783; GO:0005829; GO:0005886; GO:0006397; GO:0006401; GO:0006402; GO:0009507; GO:0009651; GO:0010372; GO:0010494; GO:0016442; GO:0031047; GO:0034605; GO:0046686; GO:0048471
Q9FLT2	GO:0000823; GO:0000824; GO:0005524; GO:0005634; GO:0006355; GO:0009555; GO:0009749; GO:0009793; GO:0010183; GO:0010264; GO:0019900; GO:0047326; GO:0051765; GO:0051766; GO:0052725; GO:0090406; GO:0102732
Q9LQ89	GO:0005089
H3K2Y6	GO:0003712; GO:0005634; GO:0006357; GO:0007275; GO:0016592; GO:0040008; GO:0040034; GO:0090213
F4HSD5	
Q9CAN1	GO:0000139; GO:0004252; GO:0005794; GO:0009506; GO:0016021
Q9SSE9	GO:0000785; GO:0000976; GO:0005634; GO:0031490; GO:0032454; GO:0033169; GO:0046872; GO:0051213; GO:0060969
Q9LSC2	GO:0004675; GO:0004715; GO:0005524; GO:0005886; GO:0006468
Q9C7N4	GO:0005618; GO:0009507; GO:0009534; GO:0016042; GO:0016788; GO:0048046
A7LXU3	GO:0008422; GO:0042597; GO:0085030; GO:0102483; GO:2000899
P26520	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0050661; GO:0051287
Q7Y223	GO:0005576; GO:0010412; GO:0016985; GO:0046355
Q9SAA6	GO:0005739
F4I114	GO:0004693; GO:0005524; GO:0005634; GO:0006468
F4JIJ7	GO:0000977; GO:0003700; GO:0006355; GO:0006357; GO:0008134; GO:0046983; GO:0050832; GO:0090575
Q93ZR6	GO:0004144; GO:0005783; GO:0005789; GO:0005886; GO:0010025; GO:0016021; GO:0019432; GO:0047196; GO:0102966; GO:0103095
Q8GV05	GO:0003700; GO:0005634; GO:0006355; GO:0007275; GO:0010091; GO:0030154; GO:0043565; GO:0044212
Q9LV66	GO:0005829
Q9FHB2	GO:0003677; GO:0005634
P54778	GO:0000502; GO:0005524; GO:0005634; GO:0005737; GO:0030163; GO:0036402
Q39110	GO:0005737; GO:0009686; GO:0009739; GO:0009740; GO:0009826; GO:0009908; GO:0045544; GO:0046872; GO:0048366; GO:0048575; GO:0051213
Q9SHE9	
Q8VYR0	GO:0005262; GO:0005743; GO:0015292; GO:0016021; GO:0051560
Q9LK57	GO:0005739; GO:0016020
Q9LK58	
P0C896	GO:0005739
O49621	GO:0005516; GO:0005886; GO:0006952; GO:0009607; GO:0016021
Q0WQ57	GO:0005737; GO:0005829; GO:0005886; GO:0006898; GO:0009504; GO:0030276; GO:0031982; GO:0043231; GO:0045806; GO:0045926; GO:0072318; GO:0072583; GO:1900186
Q0WRW8	GO:0016021; GO:0046872; GO:0055114
Q9FWA6	GO:0005739; GO:0006397; GO:0009451; GO:0016554; GO:0080156
P42814	GO:0003723; GO:0004521; GO:0005576; GO:0005773; GO:0005783; GO:0006401; GO:0010168; GO:0010507; GO:0016075; GO:0016829; GO:0033897
Q6NQD9	GO:0008134; GO:0016592; GO:0045944
Q9SMR2	GO:0000226; GO:0000902; GO:0005737; GO:0006457; GO:0007021; GO:0007023; GO:0015631
Q9SBF3	GO:0003700; GO:0005634; GO:0009751; GO:0009753; GO:0030154; GO:0043565; GO:0044212
Q9LFT5	GO:0005576; GO:0010052; GO:0010374
Q9ZPE4	GO:0005634; GO:0006511; GO:0009737; GO:0010608; GO:0010629; GO:0016567; GO:0019005; GO:0031146
Q9LX90	GO:0005634; GO:0005774; GO:0008143; GO:0016607; GO:0043621
Q8RXN0	GO:0005524; GO:0005886; GO:0009611; GO:0009651; GO:0009737; GO:0009897; GO:0010222; GO:0010588; GO:0015245; GO:0015908; GO:0016021; GO:0016887; GO:0042626; GO:0042803; GO:0055085; GO:0080051
P41091	GO:0001731; GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005850; GO:0006413; GO:0008135; GO:0045296; GO:0055085; GO:0070062
Q4F883	GO:0002230; GO:0005634; GO:0005737; GO:0007568; GO:0016021; GO:0016042; GO:0050829; GO:0052689; GO:0060866; GO:0080030; GO:1900057; GO:1900426; GO:1902290
Q0DCT8	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006468
Q93YU8	GO:0005634; GO:0010167; GO:0015706; GO:0071249; GO:0071705; GO:1901698
Q8VY08	GO:0005737; GO:0008757; GO:0016020; GO:0032259; GO:1900458
Q94JU3	GO:0000338; GO:0005829; GO:0007275; GO:0008180; GO:0009585; GO:0010387
Q8L9K1	GO:0003677; GO:0003700; GO:0005634; GO:0006952; GO:0009873; GO:0010200; GO:0043565
Q6DR04	GO:0005789; GO:0016021
Q9LVY1	GO:0004838; GO:0005829; GO:0006520; GO:0006559; GO:0006572; GO:0009058; GO:0030170
A0A0P0VI36	GO:0006520; GO:0009058; GO:0030170; GO:0033855
Q54KQ7	GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0008017; GO:0008568; GO:0016021; GO:0016853; GO:0016887; GO:0031117; GO:0031122; GO:0034214
O81016	GO:0005524; GO:0005886; GO:0006855; GO:0016021; GO:0016887; GO:0042335; GO:0042626; GO:0055085
Q84MB2	GO:0005634; GO:0009611; GO:0031347; GO:2000022
Q8VZ20	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0006952; GO:0042803; GO:0045892; GO:0050777; GO:0071219
O73944	GO:0005829; GO:0008234; GO:0016920
O81851	GO:0004842; GO:0005634; GO:0009739; GO:0042742; GO:0043067; GO:0043069; GO:0043161; GO:0046872; GO:0050832; GO:2000117
