Entry	Gene ontology IDs
Q9T0I5	GO:0005576; GO:0005618
H2DH22	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
Q9FH36	GO:0000139; GO:0005794; GO:0010413; GO:0010417; GO:0016021; GO:0045489; GO:0045492; GO:0047262; GO:0071555
Q8LPK5	GO:0005618; GO:0005794; GO:0005802; GO:0005886; GO:0006970; GO:0009414; GO:0009833; GO:0009834; GO:0016021; GO:0016759; GO:0016760; GO:0030244; GO:0042742; GO:0046872; GO:0050832; GO:0071555
P80969	GO:0005737; GO:0050366
Q6SYB9	GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872
Q8LEJ6	GO:0005886; GO:0009834; GO:0031225
A2Z1C8	GO:0005886; GO:0009834; GO:0016021; GO:0016760; GO:0030244; GO:0046872; GO:0071555
Q8GWW4	GO:0000139; GO:0005794; GO:0009834; GO:0010417; GO:0015020; GO:0016021; GO:0045492; GO:0046872; GO:0071555; GO:0080116
O80434	GO:0005507; GO:0009809; GO:0009834; GO:0016491; GO:0046274; GO:0048046; GO:0052716
Q9FH92	GO:0000139; GO:0005794; GO:0009834; GO:0016021; GO:0045491; GO:0045492
P52581	GO:0016491
F4IHS9	GO:0000139; GO:0005338; GO:0005464; GO:0005783; GO:0005789; GO:0005794; GO:0008643; GO:0015297; GO:0015790; GO:0016021; GO:0022857; GO:1900030
Q9SF32	GO:0005516; GO:0005634; GO:0005737; GO:0005874; GO:0008017
Q0WPH8	GO:0004672; GO:0004674; GO:0005524; GO:0007017; GO:0009913; GO:0043622; GO:0055028
Q84WP6	GO:0003677; GO:0003700; GO:0005634; GO:0009834; GO:0010047; GO:0045893
O22893	GO:0005794; GO:0006012; GO:0006979; GO:0009408; GO:0009409; GO:0009414; GO:0009644; GO:0009651; GO:0009737; GO:0015020; GO:0042542; GO:0046872; GO:0047216
Q9FKH6	GO:0005886; GO:0016021; GO:0046872; GO:0055114
Q9LY46	GO:0000139; GO:0005794; GO:0009409; GO:0016021; GO:0016413; GO:0045492; GO:0045893; GO:0050826; GO:1990538
Q9C7U7	GO:0001158; GO:0003700; GO:0005634; GO:0030154; GO:0043565; GO:0044212; GO:0045892; GO:1901002; GO:2000652
Q9LFW3	GO:0005774; GO:0005886; GO:0009664; GO:0009832; GO:0009834; GO:0010215; GO:0031225; GO:0046658; GO:0052324
Q8GUU2	GO:0005774; GO:0009793; GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9LZR3	GO:0000139; GO:0005794; GO:0009294; GO:0009617; GO:0016021; GO:0016757; GO:0047259; GO:0051753; GO:0071555
Q42600	GO:0004497; GO:0005506; GO:0005783; GO:0009699; GO:0009809; GO:0010224; GO:0016020; GO:0016021; GO:0016709; GO:0020037
A7QEU4	GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872
Q766C3	GO:0004190; GO:0005576
Q9SIY8	GO:0005507; GO:0046274; GO:0046688; GO:0048046; GO:0052716
A9ZPJ7	GO:0047634
Q9LF64	GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q84M95	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0006952
Q9ZUF4	GO:0004674; GO:0005524; GO:0005886; GO:0006468; GO:0042742
A0A2J6KL39	GO:0006869; GO:0008289
Q9LQ28	GO:0003677; GO:0003700; GO:0005634; GO:0009873
Q9FJD5	GO:0005507; GO:0009698; GO:0009809; GO:0016491; GO:0046274; GO:0048046; GO:0052716
Q9LYP4	GO:0051087
Q8LED3	GO:0000139; GO:0005794; GO:0005886; GO:0009827; GO:0016021; GO:0016413; GO:0030244; GO:0045489; GO:0045492; GO:1990538
Q96316	GO:0009055; GO:0031225; GO:0046658; GO:0046872
O24150	GO:0009809; GO:0042409; GO:0046872
Q9ZQC6	GO:0000139; GO:0005794; GO:0009834; GO:0010413; GO:0010417; GO:0015018; GO:0016021; GO:0042285; GO:0071555
Q42945	GO:0009809; GO:0042409; GO:0046872
Q94KT8	GO:0005886; GO:0009505; GO:0009651; GO:0009664; GO:0009825; GO:0009832; GO:0009897; GO:0009930; GO:0010215; GO:0016328; GO:0031225; GO:0046658; GO:0052324
Q66GR0	GO:0005576; GO:0005773
F4HZX7	GO:0006004; GO:0016021; GO:0016757
Q93XX5	GO:0005886; GO:0006629; GO:0008081; GO:0046658
A2ZMH2	GO:0004674; GO:0005524
Q84JA6	GO:0005794; GO:0005802; GO:0005886; GO:0009833; GO:0009834; GO:0016021; GO:0016759; GO:0016760; GO:0030244; GO:0042742; GO:0046872; GO:0050832; GO:0071555
Q9FVS9	GO:0005506; GO:0005783; GO:0005789; GO:0010025; GO:0016021; GO:0020037; GO:0080133
Q9MA41	GO:0005794; GO:0006032; GO:0009408; GO:0009414; GO:0009651; GO:0009735; GO:0009825; GO:0009873; GO:0010053; GO:0010167; GO:0010337; GO:0016998; GO:0030244; GO:0030247; GO:0048046
Q9LN68	GO:0005783; GO:0005789; GO:0005794; GO:0010051; GO:0010417; GO:0016021; GO:0032504; GO:0045489; GO:0047262; GO:0048366; GO:0052386
O64481	GO:0004252; GO:0008236
Q9SKY9	GO:0005634; GO:0045892
O81211	GO:0004601; GO:0005509; GO:0005886; GO:0016021; GO:0016174; GO:0055114
O80959	GO:0006952; GO:0016042; GO:0016787
Q8LEE9	GO:0005886; GO:0009834; GO:0031225
Q7XR02	GO:0009741; GO:0009742; GO:0009826; GO:0040008
Q9SX83	GO:0005774; GO:0006855; GO:0015297; GO:0016021; GO:0042910
P37122	GO:0004497; GO:0005506; GO:0016705; GO:0020037
Q6EU49	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556
Q9LYL9	GO:0016567
Q8VZJ9	GO:0004674; GO:0005524; GO:0005737; GO:0009555
Q9LVS0	GO:0000122; GO:0000976; GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0009646; GO:0009651; GO:0009723; GO:0009733; GO:0009737; GO:0009739; GO:0009751; GO:0009753; GO:0010150; GO:0010252; GO:0030307; GO:0045892; GO:0046686; GO:0048366; GO:0048527; GO:0090697; GO:2000469
Q9XIE2	GO:0005524; GO:0005739; GO:0005774; GO:0005886; GO:0006855; GO:0009507; GO:0009627; GO:0009737; GO:0009817; GO:0009941; GO:0015086; GO:0015691; GO:0016020; GO:0016021; GO:0016887; GO:0031348; GO:0042344; GO:0042626; GO:0042742; GO:0052544; GO:0055085; GO:0071366
O49459	GO:0003700; GO:0005634; GO:0043565; GO:0044212; GO:0045893; GO:2000652
H2DH18	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
Q9C6L8	GO:0005253; GO:0005773; GO:0009705; GO:0016021; GO:0071423; GO:0090332
Q84RF2	GO:0005634; GO:0045892
Q9SFF9	GO:0005618; GO:0030145; GO:0045735; GO:0048046
Q9ZUV3	GO:0000139; GO:0005794; GO:0006486; GO:0009834; GO:0010417; GO:0015020; GO:0016021; GO:0071555
Q9FQY8	GO:0009809; GO:0046983; GO:0047763
Q9FIU7	GO:0005975; GO:0008422; GO:0009505; GO:0102483
O81862	GO:0000272; GO:0004568; GO:0005576; GO:0005618; GO:0006032; GO:0008061; GO:0008843; GO:0009651; GO:0009737; GO:0009753; GO:0035885
Q38910	GO:0004553; GO:0005618; GO:0005794; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555
Q9LII8	GO:0005886; GO:0009860; GO:0031347
Q8GTS0	GO:0004439; GO:0034485; GO:0046856
Q8VZG2	GO:0002237; GO:0005524; GO:0005739; GO:0005740; GO:0005741; GO:0008219; GO:0009411; GO:0009617; GO:0009626; GO:0009863; GO:0016021; GO:0016887; GO:0042802
Q9SU13	GO:0005774; GO:0005886; GO:0016020; GO:0031225; GO:0046658
F4IDQ5	GO:0006355; GO:0007142; GO:0009556
Q9M9V8	GO:0004672; GO:0004674; GO:0004683; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0009738; GO:0009931; GO:0018105; GO:0035556; GO:0046777
Q08451	GO:0005773; GO:0005886; GO:0009414; GO:0009506; GO:0015250; GO:0016021
P48522	GO:0004497; GO:0005506; GO:0016705; GO:0020037
Q0WQX7	GO:0000139; GO:0004252; GO:0005794; GO:0016021
P10691	GO:0005985; GO:0016157
P24422	GO:0005774; GO:0015267; GO:0016021
Q84W40	GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9LIS3	GO:0005768; GO:0005794; GO:0005802; GO:0016021; GO:0032580; GO:0033481; GO:0050378; GO:0050829; GO:0050832
Q8GYX3	GO:0005737; GO:0005874; GO:0007010; GO:0008017; GO:0009832; GO:0010051; GO:0071555
Q9LUI1	GO:0005199; GO:0005576; GO:0005618; GO:0071555
Q9FMR1	GO:0005096; GO:0007165
Q9XIV8	GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872
O81832	GO:0004674; GO:0005516; GO:0005524; GO:0005886; GO:0006468; GO:0030246; GO:0048544
Q8VYG0	GO:0004674; GO:0005524; GO:0005886; GO:0016021; GO:0046777
Q9FYH7	GO:0000139; GO:0005509; GO:0005768; GO:0005802; GO:0006511; GO:0006623; GO:0006896; GO:0016020; GO:0016021; GO:0017119; GO:0030665; GO:0031902; GO:0061630
Q9SU79	GO:0005737; GO:0016491; GO:0046208; GO:0046592; GO:0048510; GO:0050660; GO:0052894; GO:0052901; GO:0052903; GO:1903602; GO:1990534
Q9FZJ1	GO:0000139; GO:0006486; GO:0009834; GO:0010417; GO:0016021; GO:0047517; GO:0071555; GO:0080116
Q9SJR0	GO:0003677; GO:0003700; GO:0005634; GO:0009873; GO:0050832
Q9M9C5	GO:0004674; GO:0005524; GO:0005886; GO:0016021
Q940Q8	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0006486; GO:0009834; GO:0010417; GO:0016021; GO:0042546; GO:0045492; GO:0047517; GO:0071555; GO:0080116
Q6R0C4	GO:0003677; GO:0003700; GO:0005634; GO:0009414; GO:0009737; GO:0009834; GO:0071555; GO:1901347; GO:1901348; GO:1902074; GO:2000652
O81301	GO:0005576; GO:0005618; GO:0030599; GO:0042545; GO:0045330; GO:0045490; GO:0046910
Q1PFD9	GO:0005794; GO:0016021; GO:0016413; GO:0045492; GO:1990538
Q5DWG1	GO:0006952; GO:0009607; GO:0009737
F4IH21	GO:0005794; GO:0009834; GO:0016021; GO:0016413; GO:1990538; GO:1990937
Q6NKW9	GO:0005618; GO:0005886; GO:0005975; GO:0006952; GO:0009506; GO:0009664; GO:0031225; GO:0042973; GO:0046658; GO:0048046
Q9C7N4	GO:0005618; GO:0009507; GO:0009534; GO:0016042; GO:0016788; GO:0048046
P17642	GO:0004864; GO:0006952; GO:0009607; GO:0009738; GO:0010427; GO:0038023
Q68DV7	GO:0004842; GO:0005109; GO:0005635; GO:0005789; GO:0005886; GO:0005887; GO:0006511; GO:0007275; GO:0016055; GO:0016567; GO:0030178; GO:0038018; GO:0046872; GO:0061630; GO:0072089
Q54I39	GO:0008104; GO:0015031
Q38909	GO:0004553; GO:0005618; GO:0010154; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555; GO:0080086
P46897	GO:0003700; GO:0005634; GO:0009414; GO:0009737; GO:0043565; GO:0045893
B6VRE8	GO:0009807; GO:0050664
Q9FF10	GO:0004566; GO:0005576; GO:0005618; GO:0005765; GO:0009505; GO:0009826
P27057	GO:0005576
Q93Z92	GO:0005774; GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9FSH9	GO:0004190; GO:0004857; GO:0005615; GO:0043086; GO:0043621
Q9FNL7	GO:0009611; GO:0009737; GO:0009751; GO:0009753; GO:0015333; GO:0016021; GO:0035673; GO:0042538; GO:0042742; GO:0042937; GO:0042938; GO:0042939; GO:0043201; GO:0080052; GO:0080053; GO:1904680
Q03461	GO:0006869; GO:0008289
Q8L7A0	GO:0016021; GO:0016567; GO:0031464
A7PZL3	GO:0004650; GO:0005975; GO:0016021
Q9ZRA4	GO:0005618; GO:0009734; GO:0030145; GO:0045735; GO:0048046
O04621	GO:0005794; GO:0016021; GO:0016413
O82777	GO:0004252; GO:0005615; GO:0006508; GO:0006952; GO:0008236; GO:0009611; GO:0009827; GO:0010628; GO:0042802; GO:0042803; GO:0043171; GO:0097264; GO:1900367; GO:1902066
P34899	GO:0004372; GO:0005739; GO:0019264; GO:0030170; GO:0035999
Q9M363	GO:0016021; GO:0046872; GO:0055114
Q8LD98	GO:0005829; GO:0005886; GO:0006970; GO:0009737; GO:0009738; GO:0010116; GO:0016021; GO:1902074
O22960	GO:0005794; GO:0016021; GO:0016413
Q1G3I2	GO:0005634; GO:0007623; GO:0008270; GO:0009909; GO:0030674
P30359	GO:0008270; GO:0009809; GO:0045551; GO:0052747
A6YIH8	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
Q10I20	GO:0000139; GO:0009664; GO:0016021; GO:0052636
Q945T0	GO:0005179; GO:0005576; GO:0010469; GO:0048018
