Entry	Gene ontology IDs
P81391	GO:0003677; GO:0005634
Q9CAA9	GO:0003700; GO:0005634; GO:0006355; GO:0040008; GO:0043565; GO:0046983
Q8GT20	GO:0016747
Q9FUA4	GO:0003677; GO:0003700; GO:0005634; GO:0007623; GO:0009409; GO:0010114; GO:0010154; GO:0010187; GO:0046983; GO:0048440
F4K3G5	GO:0003700; GO:0005634; GO:0006355; GO:0007165; GO:0009911; GO:0010228; GO:0031937; GO:0032991; GO:0043565; GO:0044030; GO:0046872; GO:0050832; GO:0061087; GO:0070829; GO:0090436; GO:1900111; GO:1900363; GO:2000024
Q38914	GO:0003677; GO:0003700; GO:0005634; GO:0009908; GO:0010492; GO:0019760; GO:0030154; GO:0042127; GO:0043565
O81831	GO:0005509; GO:0080167
Q9SK03	GO:0003677; GO:0003700; GO:0005634; GO:0009873
P32293	GO:0005634; GO:0006355; GO:0009734
Q9SH58	GO:0005886
O24115	GO:0005576; GO:0005773; GO:0031640; GO:0050832
Q9FFR9	GO:0005770; GO:0006813; GO:0006885; GO:0012505; GO:0015299; GO:0016021
O48921	GO:0004497; GO:0005506; GO:0016705; GO:0020037; GO:0031969
Q9ZTX8	GO:0003677; GO:0003700; GO:0005634; GO:0009733; GO:0009734; GO:0009908
Q76CU2	GO:0005524; GO:0016021; GO:0016887
Q8VYH6	GO:0016021; GO:0046872; GO:0055114
A0A3Q7ELQ2	GO:0046983
Q07121	GO:0005507; GO:0008131; GO:0009308; GO:0048038; GO:0052593; GO:0052594; GO:0052595; GO:0052596
Q9LFU0	GO:0010087; GO:0010305; GO:0010588; GO:0016567; GO:0048367; GO:0080022
Q6DBP4	GO:0005576; GO:0009505; GO:0052793; GO:0071555
Q9LK64	GO:0000325; GO:0005524; GO:0005773; GO:0005774; GO:0009506; GO:0010290; GO:0015431; GO:0016020; GO:0016021; GO:0016887; GO:0042626; GO:0048046; GO:0055085
Q93ZQ5	GO:0016021; GO:0055085
Q6YZB2	GO:0005618; GO:0030145; GO:0045735; GO:0048046
Q8H1D6	GO:0004675; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0009623; GO:0009814; GO:0012505; GO:0016301; GO:0051020; GO:0071369
Q9LSQ6	GO:0005509; GO:0009733
Q94AP3	GO:0000162; GO:0005774; GO:0005886; GO:0006952; GO:0009705; GO:0009734; GO:0009826; GO:0009834; GO:0009851; GO:0010315; GO:0016021; GO:0022857; GO:0071555; GO:0090355; GO:0090358
Q9LKL2	GO:0000160; GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0007623; GO:0009908; GO:0010031; GO:0010468; GO:0010629
Q6NMR8	
Q9LMA8	GO:0005634; GO:0009555; GO:0009611; GO:0009753; GO:0009867; GO:0009908; GO:0031347; GO:0042742; GO:1900067; GO:2000022
Q9LU73	GO:0010233; GO:0019538; GO:0033500
Q9FI25	GO:0005576; GO:0009505; GO:0016491; GO:0071949
P14009	GO:0016021
P24397	GO:0031418; GO:0046872; GO:0047998
Q9LV33	GO:0004567; GO:0005576; GO:0005618; GO:0005975; GO:0008422; GO:0009505; GO:0022626; GO:0046872; GO:0047668; GO:0080079; GO:0080081; GO:0080082; GO:0080083; GO:0102483
Q8H157	GO:0005886; GO:0009624; GO:0010119; GO:0015333; GO:0016021; GO:0035673; GO:0042128; GO:0080168; GO:0090440; GO:1904680
P32026	GO:0005576; GO:0005618; GO:0005773; GO:0031640; GO:0050832
Q9ZU65	GO:0005634; GO:0005886; GO:0045892
Q41350	GO:0005576; GO:0005618; GO:0006952
P34893	GO:0005507; GO:0005524; GO:0005739; GO:0005759; GO:0009408; GO:0046872; GO:0051082; GO:0051085; GO:0051087
P22503	GO:0008810; GO:0009835; GO:0030245
Q0WPE9	GO:0005886; GO:0009506; GO:0016021; GO:0022857
A2YFT9	GO:0003677; GO:0005634; GO:0046872
Q9LT67	GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0046983
O22759	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0046872
C0LGQ9	GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0009416; GO:0009737; GO:0009738; GO:0009789; GO:0016021; GO:0071244; GO:0071485; GO:0090333; GO:1901528
Q9SGU9	GO:0004123; GO:0005737; GO:0005829; GO:0009970; GO:0016846; GO:0018826; GO:0019343; GO:0019346; GO:0019458; GO:0030170; GO:0042631; GO:0051289
Q43866	GO:0004564; GO:0005618; GO:0005886; GO:0005975; GO:0009611; GO:0048046; GO:0050832; GO:0080167
Q9SND9	GO:0016747
Q9M130	GO:0005886; GO:0016021; GO:0022857
Q9FH57	GO:0003700; GO:0005634; GO:0008270; GO:0043565; GO:0045893
Q2Z2E9	GO:0005634; GO:0007275
A3C057	GO:0003677; GO:0005634; GO:0046872
Q9AT54	GO:0042802; GO:0050275
O24542	GO:0005634; GO:0006355; GO:0009734
Q9LTA6	GO:0005886; GO:0009630; GO:0016567; GO:0046872; GO:0048364; GO:0061630
