Solyc07g064170.3	GO:0005484; GO:0006886; GO:0016020
Solyc09g091800.3	GO:0000287; GO:0003924; GO:0005525
Solyc05g005080.3	GO:0003723; GO:0003735; GO:0006412; GO:0015934
Solyc05g055400.3	GO:0016651; GO:0048038; GO:0051287; GO:0055114
Solyc06g035580.3	GO:0008152; GO:0016491; GO:0016620; GO:0055114
Solyc03g111550.3	GO:0004842; GO:0016567
Solyc06g035720.3	GO:0008152; GO:0016491; GO:0055114
Solyc10g007310.1	GO:0008270
Solyc10g075090.2	GO:0005515
Solyc01g111145.1	GO:0005744; GO:0030150
Solyc07g049140.3	GO:0003746; GO:0006414
Solyc01g111300.3	GO:0004506; GO:0016021; GO:0050660; GO:0055114
Solyc10g075070.2	GO:0005488
Solyc06g074630.3	GO:0003899; GO:0006351; GO:0032549
Solyc08g077510.3	GO:0015977; GO:0016984
Solyc07g052230.3	GO:0006614
Solyc06g074120.3	GO:0016021
Solyc04g071610.3	GO:0005524
Solyc04g074850.3	GO:0004869
Solyc10g083675.1	GO:0004553; GO:0005975
Solyc03g117800.3	GO:0005337; GO:0006810; GO:0016021
Solyc11g007540.2	GO:0005524; GO:0006298; GO:0030983
Solyc01g104775.1	GO:0004252; GO:0006508
Solyc04g081300.3	GO:0005488
Solyc03g034370.1	GO:0004672; GO:0005524; GO:0006468
Solyc09g014350.3	GO:0003824; GO:0008152
Solyc02g091920.3	GO:0005515
Solyc11g008630.2	GO:0006629
Solyc03g034375.1	GO:0004672; GO:0006468
Solyc06g009770.1	GO:0004525; GO:0006396
Solyc01g105450.3	GO:0003677; GO:0005524; GO:0006281; GO:0006289; GO:0009381; GO:0009432
Solyc01g104720.3	GO:0008080
Solyc11g006250.2	GO:0003676; GO:0005524
Solyc11g012320.2	GO:0005524; GO:0016881; GO:0045116
Solyc09g008200.3	GO:0016651; GO:0048038; GO:0051287; GO:0055114
Solyc10g083670.2	GO:0046982
Solyc03g114030.3	GO:0005737; GO:0006886
Solyc02g088100.3	GO:0003676
Solyc09g098530.3	GO:0006801; GO:0046872; GO:0055114
Solyc05g054090.3	GO:0016021
Solyc07g049440.3	GO:0006614
Solyc03g013340.3	GO:0004540; GO:0008033
Solyc07g062530.3	GO:0005488
Solyc01g099630.3	GO:0008168
Solyc02g089880.3	GO:0016787
Solyc03g114000.3	GO:0005488
Solyc01g087850.2	GO:0003951; GO:0008152; GO:0019674
Solyc06g082460.1	GO:0008137; GO:0055114
Solyc04g079640.3	GO:0031124
Solyc09g098540.3	GO:0003824
Solyc10g005100.3	GO:0004764; GO:0019632; GO:0050661; GO:0055114
Solyc05g007120.3	GO:0000145; GO:0006887
Solyc08g068150.3	GO:0006508; GO:0008234
Solyc10g047240.2	GO:0002098
Solyc06g074260.3	GO:0003677; GO:0003899; GO:0006351
Solyc01g080680.3	GO:0046872
Solyc08g081220.1	GO:0005515
Solyc04g071800.3	GO:0003700; GO:0006355
Solyc06g082420.3	GO:0005524; GO:0009507
Solyc07g064180.3	GO:0005515
Solyc06g083590.3	GO:0008137; GO:0055114
Solyc02g065240.3	GO:0046982
Solyc08g079430.3	GO:0003677; GO:0046983
Solyc08g067030.3	GO:0046983
Solyc12g009270.1	GO:0002161; GO:0006418
Solyc07g017600.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc05g051010.3	GO:0008152; GO:0016787
Solyc06g053730.1	GO:0003676
Solyc03g080100.3	GO:0004177; GO:0006508; GO:0008235
Solyc04g007770.3	GO:0000166
Solyc01g111220.3	GO:0016226
Solyc07g064160.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc02g087420.2	GO:0046872
Solyc09g007480.3	GO:0030001; GO:0046872
Solyc02g065610.3	GO:0005515
Solyc08g076885.1	GO:0004553; GO:0005975
Solyc02g065530.3	GO:0004672; GO:0005524; GO:0006468
Solyc07g055065.1	GO:0009522; GO:0009579; GO:0015979; GO:0016021
Solyc02g076920.3	GO:0051015; GO:0051017
Solyc02g084720.3	GO:0004672; GO:0006468
Solyc12g099360.2	GO:0043531
Solyc05g049990.3	GO:0004185; GO:0006508
Solyc04g016330.3	GO:0004672; GO:0006468
Solyc10g080840.1	GO:0005515; GO:0008270
Solyc05g043330.3	GO:0004672; GO:0005524; GO:0006468
Solyc11g071620.3	GO:0016772
Solyc11g006520.2	GO:0031011
Solyc01g109170.3	GO:0000155; GO:0007165
Solyc03g112760.3	GO:0004674; GO:0005524; GO:0006468
Solyc01g094010.3	GO:0005488
Solyc02g082740.1	GO:0005524; GO:0016887
Solyc07g056320.3	GO:0055114
Solyc03g116280.3	GO:0004672; GO:0005524; GO:0006468
Solyc07g045440.1	GO:0003824; GO:0030151; GO:0030170
Solyc02g092840.1	GO:0005515
Solyc06g083580.3	GO:0003677; GO:0003899; GO:0006351
Solyc08g076060.3	GO:0003677; GO:0046983
Solyc02g069420.3	GO:0017061
Solyc03g111690.3	GO:0005488
Solyc01g111570.3	GO:0016491; GO:0055114
Solyc02g084210.1	GO:0008080
Solyc01g099260.3	GO:0030288
Solyc06g072845.1	GO:0005524; GO:0009507
Solyc07g052240.3	GO:0009772; GO:0019684; GO:0045156
Solyc01g095530.2	GO:0009030; GO:0009228
Solyc08g005560.3	GO:0003712; GO:0006355
Solyc08g079040.1	GO:0003676; GO:0006139; GO:0008408
Solyc06g065670.3	GO:0005515
Solyc11g072110.2	GO:0016021; GO:0022857
Solyc04g071650.3	GO:0003700; GO:0006355
Solyc04g070970.3	GO:0004672; GO:0006468
Solyc02g088380.3	GO:0008168
Solyc01g080010.2	GO:0005515
Solyc06g060570.3	GO:0003700; GO:0006355
Solyc03g114750.3	GO:0003700; GO:0005667; GO:0006355
Solyc06g063240.3	GO:0003700; GO:0006355
Solyc01g108490.3	GO:0016020; GO:0016021
Solyc09g005570.3	GO:0005488
Solyc06g074070.3	GO:0016021
Solyc04g016220.3	GO:0003951; GO:0008152; GO:0019674
Solyc11g069590.2	GO:0033743; GO:0055114
Solyc12g056200.2	GO:0006400; GO:0008176
