Entry	Gene ontology IDs
O94728	GO:0003723; GO:0005634; GO:0005829; GO:0032153; GO:0044732; GO:0072686
Q9SLA8	GO:0004318; GO:0005507; GO:0005835; GO:0006633; GO:0009507; GO:0009570; GO:0009579; GO:0009941; GO:0016631
Q1W375	GO:0004615; GO:0005737; GO:0009298
P86809	GO:0006869; GO:0008289
P22823	GO:0009094; GO:0050175
Q9SLN8	GO:0016491
Q5SMI4	GO:0003723; GO:0003735; GO:0006412; GO:0022625
Q9M028	GO:0005886; GO:0016021
Q9FLN0	GO:0005615; GO:0005622; GO:0009620; GO:0009627; GO:0009751; GO:0009817; GO:0009866; GO:0009871; GO:0016042; GO:0016298; GO:0042742; GO:0050832
O04621	GO:0005794; GO:0016021; GO:0016413; GO:0071554
B8BKI8	GO:0000347; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006268; GO:0006270; GO:0007049; GO:0009793; GO:0010082; GO:0042127; GO:0042555; GO:0046872
P21342	GO:0003872; GO:0005524; GO:0005737; GO:0046872; GO:0047334
P08306	GO:0004129; GO:0005507; GO:0005886; GO:0016021; GO:0022900; GO:0070469
Q9SUS5	GO:0004842; GO:0008270; GO:0010200; GO:0016567; GO:0043161; GO:0046686; GO:0061630
Q06915	GO:0004553; GO:0005975; GO:0006952; GO:0009793; GO:0010584; GO:0030247; GO:0042973; GO:0046658
Q9SG80	GO:0005578; GO:0005773; GO:0009044; GO:0009505; GO:0045493; GO:0046373; GO:0046556; GO:0048046
O62589	GO:0004252; GO:0005576; GO:0006508; GO:0007311; GO:0008063; GO:0008233; GO:0008236; GO:0009950; GO:0016485
Q9M330	GO:0000502; GO:0005634; GO:0005783; GO:0005886; GO:0006511; GO:0071365; GO:1901799
P24555	GO:0004252; GO:0005737; GO:0070008
O22644	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q9LFW3	GO:0005774; GO:0005886; GO:0009834; GO:0010215; GO:0016049; GO:0031225
