Entry	Gene ontology IDs
Q8LFP9	GO:0009688; GO:0009941; GO:0016021; GO:0016122; GO:0016123; GO:0031969; GO:0032928
Q94KL7	GO:0016491
O49146	GO:0004867
O24115	GO:0005576; GO:0005773; GO:0031640; GO:0050832
Q03461	GO:0006869; GO:0008289
Q9FI21	GO:0005576; GO:0005618; GO:0009651; GO:0016614; GO:0050660
Q94A68	GO:0009507; GO:0009535; GO:0009941; GO:0010287; GO:0016491
Q8RW93	GO:0005576
A8XC92	GO:0001965; GO:0005887; GO:0030425; GO:0038022; GO:0042048; GO:0043025; GO:0050918; GO:0060170; GO:0097730; GO:1990075
P31525	
Q6K5P8	GO:0005618; GO:0030145; GO:0045735; GO:0048046
B0KSS1	
A6UTB1	GO:0000105; GO:0004424; GO:0005737
Q948Z4	GO:0005576; GO:0005618; GO:0006952
O78328	GO:0008661; GO:0009228; GO:0009507; GO:0016114; GO:0046872; GO:0052865
P83241	GO:0004867
P56330	GO:0003743; GO:0006417
Q9XEX2	GO:0004601; GO:0005829; GO:0005886; GO:0009507; GO:0016020; GO:0045454; GO:0046686; GO:0051920
P02774	GO:0003779; GO:0005499; GO:0005576; GO:0005615; GO:0005829; GO:0042359; GO:0043202; GO:0051180; GO:0051183; GO:0070062; GO:0072562; GO:1902118
Q8YQX7	GO:0005524; GO:0006457; GO:0008270; GO:0046983; GO:0051082
P27788	GO:0009055; GO:0009507; GO:0009570; GO:0009578; GO:0022900; GO:0046872; GO:0051537
Q56YU0	GO:0004029; GO:0005829; GO:0009699; GO:0050269
P92973	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0007623; GO:0009409; GO:0009651; GO:0009723; GO:0009733; GO:0009737; GO:0009739; GO:0009751; GO:0009753; GO:0010243; GO:0010468; GO:0042754; GO:0043496; GO:0043565; GO:0045892; GO:0045893; GO:0046686; GO:0048574
Q9FYB5	GO:0005634; GO:0009507; GO:0009536; GO:0009570
O48921	GO:0004497; GO:0005506; GO:0016705; GO:0020037; GO:0031969
Q40396	GO:0046872
O24038	GO:0006869; GO:0008289
Q8LP17	GO:0016702; GO:0046872
P81391	GO:0003677; GO:0005634; GO:0006351; GO:0006355
