Entry	Gene ontology IDs
Q9LVZ7	GO:0004142; GO:0016021; GO:0046470
P32293	GO:0005634; GO:0006355; GO:0009734
Q949R9	GO:0005739; GO:0005774; GO:0005886; GO:0006850; GO:0010119; GO:0016020; GO:0031305; GO:0050833
Q60CZ8	GO:0005524; GO:0005737; GO:0009626; GO:0016020; GO:0043531
Q9C6A1	GO:0000394; GO:0003690; GO:0003723; GO:0005739; GO:0006353; GO:0006355; GO:0009507; GO:0009658; GO:0032502
Q8LPG9	
P93227	GO:0004660; GO:0004661; GO:0004662; GO:0005737; GO:0005953; GO:0005965; GO:0018343; GO:0018344
Q6NQK2	GO:0000077; GO:0003700; GO:0005634; GO:0010332; GO:0040020; GO:0043565; GO:0044212
B3H615	GO:0005634; GO:0006325; GO:0035064; GO:0040008; GO:0046872
Q84WV1	GO:0005524; GO:0005829; GO:0005832; GO:0006457; GO:0051082
O22812	GO:0003680; GO:0005634; GO:0005829
Q8S9K7	GO:0005779; GO:0030674; GO:0045046
Q8VYH6	GO:0016021; GO:0046872; GO:0055114
O04492	GO:0003725; GO:0004525; GO:0005634; GO:0006396; GO:0009733; GO:0009735; GO:0009737; GO:0010267; GO:0010305; GO:0010445; GO:0010589; GO:0016607; GO:0030422; GO:0031053; GO:0031054; GO:0035196; GO:0035198; GO:0035279; GO:0042802
A2RVP7	GO:0008320; GO:0009793; GO:0016021; GO:0030943; GO:0042721; GO:0045039
Q93YV5	GO:0007275; GO:0016567; GO:0046620; GO:0046872; GO:0061630; GO:0080113
Q9LY43	GO:0005739
Q9SZL5	
Q058P4	GO:0061630; GO:0071472; GO:1901001
Q9SY57	GO:0016021; GO:0030246
Q9SLA8	GO:0004318; GO:0005507; GO:0005835; GO:0006633; GO:0009507; GO:0009570; GO:0009579; GO:0009941; GO:0016631
Q9FHE4	GO:0004842; GO:0006952; GO:0043067; GO:0043161; GO:0046872
P24397	GO:0031418; GO:0046872; GO:0047998
Q9SU50	GO:0004555; GO:0005886; GO:0005993; GO:0016021
Q94AR6	GO:0003700; GO:0005634; GO:0006355; GO:0044212; GO:0046872
Q9C637	GO:0005886; GO:0016020; GO:0016021
Q55FA4	GO:0003899; GO:0005736; GO:0006360
P50218	GO:0000287; GO:0004450; GO:0005737; GO:0006097; GO:0006099; GO:0006102; GO:0051287
Q9ZU67	GO:0005739; GO:0016020
Q9ATF5	GO:0003735; GO:0005840; GO:0006412
Q9C8S9	GO:0003723; GO:0004386; GO:0005524
Q9VKV8	GO:0000398; GO:0005634; GO:0005730; GO:0005814; GO:0005874; GO:0005929; GO:0007288; GO:0007291; GO:0018094; GO:0031514; GO:0036064; GO:0036126; GO:0040011; GO:0044782; GO:0060271; GO:0060296; GO:0071011; GO:0071013; GO:1902093; GO:2000147
Q8RWI9	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0042626; GO:0055085; GO:0080167
Q1W2L8	GO:0004357; GO:0005524; GO:0006750; GO:0009507
Q6F2U9	GO:0000049; GO:0004824; GO:0005524; GO:0005829; GO:0006430
P62302	GO:0003735; GO:0005730; GO:0006412; GO:0022627; GO:0070181
P0C896	GO:0005739
Q9ZT92	GO:0003729; GO:0006402; GO:0010228; GO:0032451; GO:0046872; GO:0051213; GO:0080167; GO:1990931
O48964	GO:0004452; GO:0008299; GO:0015979; GO:0015995; GO:0016787; GO:0046872; GO:0050992
Q03199	GO:0004867; GO:0005576; GO:0009611
Q9LEV3	GO:0005739; GO:0009651; GO:0045454; GO:0050897
O04331	GO:0005730; GO:0005739; GO:0005747; GO:0005773; GO:0005774; GO:0005886; GO:0007005; GO:0009507; GO:0009651; GO:0009697; GO:0009723; GO:0009733; GO:0009941; GO:0016020; GO:0016021; GO:0042742; GO:0044877; GO:0048527; GO:0051301; GO:0051782; GO:0071731
Q9LSI9	GO:0000166; GO:0005886; GO:0006468; GO:0006952; GO:0009507; GO:0016020; GO:0016021; GO:1900150; GO:1900425
P49209	GO:0002181; GO:0003735; GO:0005730; GO:0005773; GO:0005774; GO:0005829; GO:0005886; GO:0009506; GO:0009507; GO:0009941; GO:0009955; GO:0016020; GO:0019843; GO:0022625; GO:0022626
Q947D2	GO:0017112; GO:0035091; GO:0046872; GO:0070300
F4IPY2	GO:0004817; GO:0005524; GO:0005737; GO:0005739; GO:0006423; GO:0009507; GO:0009570; GO:0010197; GO:0042407; GO:0043067; GO:0046872
P46291	GO:0003735; GO:0006412; GO:0022625
A2YFT9	GO:0003677; GO:0005634; GO:0046872
Q93ZQ5	GO:0016021; GO:0055085
Q9LZC5	GO:0005576; GO:0016042; GO:0016298
Q40554	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290
P40513	GO:0003729; GO:0005739; GO:0005759; GO:0008494; GO:0009060; GO:0070131; GO:0097177
O49658	GO:0003680; GO:0005634
P80497	GO:0005743; GO:0006811; GO:0045263
Q9FPS9	GO:0004197; GO:0004843; GO:0005634; GO:0005737; GO:0006511; GO:0016579; GO:0046872
Q9FM96	GO:0005783; GO:0006491; GO:0042742
O82281	GO:0005634
P42791	GO:0003735; GO:0005773; GO:0005774; GO:0005886; GO:0006412; GO:0009507; GO:0015934; GO:0022625
Q9FMP0	GO:0008134; GO:0016592; GO:0045944
Q8GT20	GO:0016747
P46637	GO:0000050; GO:0004053; GO:0005739; GO:0006527; GO:0008783; GO:0009507; GO:0033389; GO:0042742; GO:0050897
Q9LFU0	GO:0010087; GO:0010305; GO:0010588; GO:0016567; GO:0048367; GO:0080022
Q69KJ0	GO:0003723; GO:0004525; GO:0006396; GO:0046872
Q9SMP0	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0016602; GO:0045893; GO:0046982; GO:2000306
Q10B98	GO:0000398; GO:0003677; GO:0003723; GO:0005686; GO:0046872
Q9M3G7	GO:0003677; GO:0004674; GO:0005524; GO:0005634; GO:0006974; GO:0008380; GO:0051321; GO:2001020
Q940P8	GO:0005524; GO:0005618; GO:0005829; GO:0005832; GO:0006457; GO:0046658; GO:0051082
Q8L6Z4	GO:0000462; GO:0003723; GO:0003735; GO:0005739; GO:0005840; GO:0006412; GO:0009555; GO:0009559; GO:0048229
Q9LJG8	GO:0003700; GO:0005634; GO:0006355; GO:0009793; GO:0010431; GO:0043565; GO:0044212
Q8LFP9	GO:0009688; GO:0009941; GO:0016021; GO:0016122; GO:0031969; GO:0032928
Q8TEQ8	GO:0005789; GO:0006506; GO:0016020; GO:0016021; GO:0051377
