Solyc09g089530.3	GO:0050660
Solyc12g011010.2	GO:0006886; GO:0008536
Solyc04g008900.3	GO:0000166; GO:0046872
Solyc08g082670.3	GO:0003677
Solyc07g043000.3	GO:0016747
Solyc12g010980.2	GO:0006886
Solyc09g010210.3	GO:0046982
Solyc09g089510.3	GO:0016491; GO:0050660; GO:0055114
Solyc01g066560.3	GO:0003723
Solyc10g076250.2	GO:0016491; GO:0055114
Solyc04g078470.3	GO:0006904; GO:0016192
Solyc03g098710.1	GO:0003871; GO:0008270; GO:0008652
Solyc05g051290.3	GO:0005524; GO:0009507
Solyc06g068650.3	GO:0003677; GO:0003700; GO:0007165
Solyc08g074683.1	GO:0003677; GO:0046983
Solyc12g096770.1	GO:0003677; GO:0003918; GO:0005524; GO:0006259; GO:0006265
Solyc10g086030.2	GO:0003824; GO:0008152
Solyc03g113540.3	GO:0003676
Solyc11g071470.1	GO:0004553; GO:0005975
Solyc10g075110.2	GO:0003860
Solyc08g083240.3	GO:0051287
Solyc03g007690.1	GO:0003723; GO:0004826
Solyc07g055950.3	GO:0046872
Solyc10g086180.2	GO:0005525; GO:0006614
Solyc01g009040.3	GO:0006306
Solyc02g093950.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc01g109150.4	GO:0051015; GO:0051017
Solyc07g066060.3	GO:0008270
Solyc08g083230.2	GO:0016491; GO:0055114
Solyc10g080870.3	GO:0003866; GO:0009073
Solyc10g081560.2	GO:0004672; GO:0006468
Solyc02g071700.3	GO:0016788
Solyc12g096790.1	GO:0003918; GO:0005524
Solyc09g075360.3	GO:0004252; GO:0006508
Solyc03g118780.3	GO:0046983
Solyc02g071060.3	GO:0000287; GO:0016616; GO:0051287; GO:0055114
Solyc10g078350.2	GO:0005576
Solyc03g005450.3	GO:0008270
Solyc09g015170.3	GO:0005215; GO:0005743; GO:0006810; GO:0055085
Solyc04g082030.1	GO:0006351; GO:0046983
Solyc12g049250.2	GO:0005488
Solyc11g056650.2	GO:0004124; GO:0006535
Solyc04g074810.3	GO:0003677
Solyc01g079150.3	GO:0004349; GO:0006561
Solyc08g005610.3	GO:0003883; GO:0006241
Solyc09g084480.3	GO:0055114
Solyc10g047030.3	GO:0003700; GO:0006355
Solyc09g084470.3	GO:0016616; GO:0046168; GO:0051287; GO:0055114
Solyc06g005610.1	GO:0046983
Solyc01g006400.3	GO:0003924; GO:0005525
Solyc04g081235.1	GO:0006412
Solyc04g076630.3	GO:0005515; GO:0007165
Solyc01g090180.3	GO:0006633
Solyc03g064010.3	GO:0004553; GO:0005975
Solyc12g056540.1	GO:0004252; GO:0006508
Solyc02g090970.1	GO:0019538
Solyc09g082505.1	GO:0003700; GO:0005634; GO:0006355
Solyc11g012130.2	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc07g064600.3	GO:0004672; GO:0005524; GO:0006468
Solyc07g049320.3	GO:0005524
Solyc10g086240.2	GO:0005515
Solyc03g006250.2	GO:0046872
Solyc02g067320.2	GO:0046856
